conversation,panic_meter
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",54.2
"No food, no drinking water since yesterday, stranded in Thiruvananthapuram flood",99.0
"My house is completely flooded, water till knee level 😭 #FloodAlert",40.4
"Beach closed due to high tide, lifeguards warning tourists ⚠️",63.0
"My house is completely flooded, water till knee level 😭 #FloodAlert",78.2
"Poor rain chance, hot air balance with helicopter 😂",47.9
"Cyclone destroyed roof of my house, kids shivering 😢",80.1
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,22.5
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,74.1
"@IndianNavy please save us, stuck in Cuttack since cyclone hit!",81.8
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,17.1
"@IndianNavalFireforce. Finally, we arrive!🙏",15.2
"Final stage, sailing towards land again. Kids crying, mom tired 🚨",84.2
Supporting fans who came to watch us play in Chennai storm,56.8
"Just another day, stuck in traffic due to rain 😒",81.9
"Kids crying, we are on rooftop since last night, water rising fast 🚨",99.6
"Seashore flooding slowly, people moving inland",47.6
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",80.1
Bhai kal sebha loi (big waves at sea) 🌊 stay safe #TamilNadu,78.0
"Flood in Mumbai, please @NDRF come fast 🙏",48.7
"Beach closed due to high tide, lifeguards warning tourists ⚠️",43.1
"Power cut in whole area due to cyclone, scary night 😰",56.3
"Water entered ground floor, electricity gone, please send help urgently!!",88.0
"Water entered ground floor, electricity went out, please send help urgently!!",95.4
"Water entered ground floor, electricity gone, please send help urgently!!",89.8
"Basement completely filled with water, car Doob gayi 😭 #Floods",88.1
"Can't believe the size of these waves, never seen like this before",56.3
"Water entered ground floor, electricity gone, please send help urgently!!",97.3
"Seashore flooding slowly, people moving inland",34.1
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",10.4
"No food, no drinking water since yesterday, stranded in Kolkata flood",99.0
"Power cut in whole area due to cyclone, scary night 😰",69.5
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",14.8
"Water entered ground floor, electricity gone, please send help urgently!!",84.0
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",86.4
"Just another day, stuck in traffic due to rain 😒",84.1
"Heavy rain again, classic Mumbai monsoon 😂",29.5
"Can't go outside, roads blocked due to heavy rain in Visakhapatnam. Anyone else stuck?",89.4
"Basement completely filled with water, car doob gayi 😭 #Floods",85.0
"My house is completely flooded, water till knee level 😭 #FloodAlert",25.2
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,53.6
"Beach closed due to high tide, lifeguards warning tourists ⚠️",58.7
"Storm surge is breaking the wall, sea water entering colony in Chennai",58.7
"High waves hitting the shore, fishermen in danger 🚤🌊",56.4
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",10.4
"No food, no drinking water since yesterday, stranded in Cuttack flood",84.0
Rainy vibes with chai ☕ but roads full of water 🤦,26.5
"Seashore flooding slowly, people moving inland",75.5
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",75.7
"No food, no drinking water since yesterday, stranded in Thiruvananthapuram flood",84.0
"Heavy rain again, classic Mumbai monsoon 😂",15.2
"Storm surge is breaking the wall, sea water entering colony in Kolkata",64.5
"No food, no drinking water since yesterday, stranded in Cuttack flood",96.0
Rainy vibes with chai ☕ but roads full of water 🤦,18.7
"Beach closed due to high tide, lifeguards warning tourists ⚠️",34.0
"Can't believe the size of these waves, never seen like this before",59.4
"High waves hitting the shore, fishermen in danger 🚤🌊",54.8
Lol people swimming on road again 🌧️,26.8
"Just another day, stuck in traffic due to storm 😒",86.1
"Seashore flooding slowly, people moving inland",71.5
"Can't believe the size of these waves, never seen like this before",49.2
"Cyclone destroyed roof of my house, kids shivering 😢",87.2
"Storm surge is breaking the wall, sea water entering colony in Visakhapatnam",58.1
"Seashore flooding slowly, people moving inland",50.5
"Power cut in whole area due to cyclone, scary night 😰",54.3
"Heavy rain again, classic Mumbai monsoon 😂",24.2
"Beach closed due to high tide, lifeguads warning tourists ⚠️",49.5
"Seashore flooding slowly, people moving inland",47.8
Rainy vibes with chai ☕ but roads full of water 🤦,34.8
"Flood in Mumbai, please @NDRF come fast 🙏",46.2
"Power cut in whole area due to cyclone, scary night 😰",76.8
"Bhai kal sebha loaeyi 😂, ki aarip party abhi to koi madad nahi aayi 😡",68.0
"Power cut in whole area due to cyclone, scary night 😰",75.2
"High waves hitting the shore, fishermen in danger 🚤🌊",65.6
"Power cut in whole area due to cyclone, scary night 😰",67.7
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",84.1
"Water entered ground floor, electricity gone, please send help urgently!!!",93.6
"Heavy rain again, classic Mumbai monsoon 😂",15.4
"Storm surge is breaking the wall, sea water entering colony in Chennai",69.5
Rainy vibes with chai ☕ but roads full of water 🤦,27.8
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",55.2
"Just another day, stuck in traffic due to rain 😒",86.5
"No food, no drinking water since yesterday, stranded in Visakhapatnam flood",92.1
"Beach closed due to high tide, lifeguards warning tourists ⚠️",48.0
"Kids crying, we are on rooftop since last night, water rising fast 🚨",89.2
"Can't believe the size of these waves, never seen like this before",69.4
"High waves hitting the shore, fishermen in danger 🚤🌊",54.5
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",46.7
"My house is completely flooded, water till knee level 😭 #FloodAlert",70.8
"Water entered ground floor, electricity gone, please send help urgently!!",94.4
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",89.1
"Seashore flooding slowly, people moving inland",40.7
"Power cut in whole area due to cyclone, scary night 😰",69.7
"No food, no drinking water since yesterday, stranded in Visakhapatnam flood",90.4
"Cyclone destroyed roof of my house, kids shivering 😢",91.6
"Basement completely filled with water, car doob gayi 😭 #Floods",94.3
"Beach closed due to high tide, lifeguards warning tourists ⚠️",57.6
"Huge wave hits the shore, fishermen in danger 🚤🌊",63.0
"Can't go outside, roads blocked due to heavy rain in Thiruvananthapuram. Anyone else stuck?",92.1
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,67.3
"Cyclone holiday declared, no college today yay 😅",21.8
"Water entered ground floor, electricity gone, please send help urgently!!",99.6
"@IndianNavy please rescue us, stuck in Cuttack since cycle thickens!",81.0
"Flood in Kolkata, please @NDRF come fast 🙏",64.9
"Basement totally filled with water, car doob gayi 😭 #Floods",89.8
"Good luck fighting fire, still can see smoke from nearby town 🙏",64.8
Lol people swimming on road again 🌧️,17.7
"My house is completely flooded, water till knee level 😭 #FloodAlert",59.4
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,20.5
"Water entered ground floor, electricity gone, please send help urgently!!",98.3
"Storm surge is breaking the wall, sea water entering colony in Visakhapatnam",67.8
"Water entered ground floor, electricity gone, please send help urgently!!",88.7
"Can't go outside, roads blocked due to heavy rain in Kolkata. Anyone else stuck?",80.0
"Power cut in whole area due to cyclone, scary night 😰",56.4
Jhumka gaila vardobhi maine dhumeira available k#Weather alert,63.1
"No food, no drinking water since yesterday, stranded in Thiruvananthapuram flood",93.4
"Heavy rain again, classic Mumbai monsoon 😂",5.7
"Goat killed by rocket, unbelievable scale 😭 #KeralaAlert",70.8
"Water entered ground floor, electricity gone, please send help urgently!!",82.9
"Water entered ground floor, electricity gone, please send help urgently!!",92.1
"Can't go outside, roads blocked due to heavy rain in Thiruvananthapuram. anybody else stuck?",94.1
"Flood in Visakhapatnam, please @NDRF come fast 🙏",34.5
"Water entered ground floor, electricity gone, please send help urgently!!",90.6
"Kids crying, we are on rooftop since last night, water rising fast 🚨",80.3
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",58.6
"Cyclone holiday declared, no college today yay 😅",27.4
"Can't go outside, roads blocked due to heavy rain in Visakhapatnam. Anyone else stuck?",91.6
"Beach closed due to high tide, lifeguards warning tourists ⚠️",79.4
"Storm surge is breaking the wall, sea water entering colony in Chennai",69.3
"No food, no drinking water since yesterday, stranded in Kolkata flood",81.8
"Flood in Thiruvananthapuram, please @NDRF come fast 🙏",73.3
"Kids crying, we are on rooftop since last night, water rising fast 🚨",83.9
"My house is completely flooded, water till knee level 😭 #FloodAlert",48.7
"Water entered ground floor, electricity gone, please send help urgently!!",82.6
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",53.4
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",81.4
"Basement completely filled with water, car doob gayi 😭 #Floods",88.4
"Power cut in whole area due to cyclone, scary night 😰",54.5
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",12.0
"High waves hitting the shore, fishermen in danger 🚤🌊",58.0
"Heavy rain again, classic Mumbai monsoon 😂",35.5
"Seashore flooding slowly, people moving inland",55.2
"Just another day, stuck in traffic due to rain 😒",83.7
"High waves hitting the shore, fishermen in danger 🚤🌊",56.4
"Heavy rain again, classic Mumbai monsoon 😂",20.5
"Power cut in whole area due to cyclone, scary night 😰",69.1
"Cyclone destroyed roof of my house, kids shivering 😢",95.5
Rainy vibes with chai ☕ but roads full of water 🤦,25.8
"Bhai kal se baarish ho rahi hai, koi madads nahi aayiabhi tak 😡",46.0
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧？",27.8
"Power cut in whole area due to cyclone, scary night 😰",76.9
"Storm surge is breaking the wall, sea water entering colony in Cuttack",67.1
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",94.2
"Can't believe the size of these waves, never seen like this before",36.9
"No food, no drinking water since yesterday, stranded in Puri flood",84.0
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",6.3
"My house is completely flooded, water until knee level 😭 #FloodAlert",67.4
"My house is completely flooded, water till knee level 😭 #FloodAlert",59.2
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",58.0
"Quite cool wind calling, spreading calmness 😂",37.7
"Beach closed due to high tide, lifeguards warning tourists ⚠️",54.8
"Flood in Thiruvananthapuram, please @NDRF come fast 🙏",63.5
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",76.1
"No food, no drinking water since yesterday, stranded in Kolkata flood",98.2
"Basement completely filled with water, car doob gayi 😭 #Floods",84.1
"Heavy rain again, classic Mumbai monsoon 😂",24.8
"Flood in Thiruvananthapuram, please @NDRF come fast 🙏",64.2
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",26.2
"My house is completely flooded, water till knee level 😭 #FloodAlert",48.7
"Heavy rain again, classic Mumbai monsoon 😂",31.2
Lol people swimming on road again 🌧️,15.9
"Storm surge is breaking the wall, sea water entering colony in Mumbai",66.8
"Can't go outside, roads blocked due to heavy rain in Visakhapatnam. Anyone else stuck?",96.5
"Seashore flooding slowly, people moving inland",43.1
"Kids crying, we are on rooftop since last night, water rising fast 🚨",92.0
"Cyclone holiday declared, no college today yay 😅",17.3
"Heavy rain again, classic Mumbai monsoon 😂",16.1
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",36.9
"Flood in Thiruvananthapuram, please @NDRF come fast 🙏",48.2
"Beach closed due to high tide, lifeguards warning tourists ⚠️",79.2
"Water entered ground floor, electricity gone, please send help urgently!!",94.0
"My house is completely flooded, water till knee level 😭 #FloodAlert",73.7
"Storm surge is breaking the wall, sea water entering colony in Chennai",59.0
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",89.4
"No food, no drinking water since yesterday, stranded in Kolkata flood",84.1
"Basement completely filled with water, car doob gayi 😭 #Floods",88.5
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",51.5
"Just another day, stuck in traffic due to rain 😒",93.8
"Power cut in whole area due to cyclone, scary night 😰",64.1
"High waves hitting the shore, fishermen in danger 🚤🌊",76.1
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,56.7
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",21.2
Lol people swimming on road again 🌧️,8.3
"In Cuttack, cyclone destroyed roof of my house, kids shivering 😢",84.1
"My house is completely flooded, water till knee level 😭 #FloodAlert",52.7
"Heavy rain again, classic Mumbai monsoon 😂",20.3
"Storm surge is breaking the wall, sea water entering colony in Visakhapatnam",68.0
"Seashore flooding slowly, people moving inland",40.5
"Power cut in whole area due to cyclone, scary night 😰",76.5
"My house is completely flooded, water till knee level 😭 #Flood Alert",85.9
"Heavy rain again, classic Mumbai monsoon 😂",27.5
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",76.8
"My house is completely flooded, water till knee level 😭 #FloodAlert",32.6
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",56.4
"Can't believe the size of these waves, never seen like this before",70.9
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",16.0
"Can't go outside, roads blocked due to heavy rain in Thiruvananthapuram. Anyone else stuck?",94.0
"Basement completely filled with water, car doob gayi 😭 #Floods",85.7
"@IndianNavy please rescue us, stuck in Visakhapatnam since cyclone hit!",82.5
"Power cut in whole area due to cyclone, scary night 😰",74.8
"Hearth fire created by police, women burning fuel in Cuttack flood",70.4
"Cyclone holiday declared, no college today yay 😅",30.6
"Just another day, stuck in traffic due to rain 😒",83.6
Rainy vibes with chai ☕ but roads full of water 🤦,9.4
"My house is completely flooded, water till knee level 😭 #FloodAlert",41.8
"Power cut in whole area due to cyclone, scary night 😰",67.6
"Basement completely filled with water, car doob gayi 😭 #Floods",83.3
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",83.6
"Seashore flooding slowly, people moving inland",40.0
"No food, no drinking water since yesterday, stranded in Chennai flood",99.1
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",93.8
"Just another day, stuck in traffic due to rain 😒",96.4
"Can't go outside, roads blocked due to heavy rain in Puri. Anyone else stuck?",87.5
"Power cut in whole area due to cyclone, scary night 😰",56.4
"Kids crying, we are on rooftop since last night, water rising fast 🚨",99.7
"Basement completely filled with water, car doob gayi 😭 #Floods",88.1
"Heavy rain again, classic Mumbai monsoon 😂",4.1
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",92.9
"No food, no drinking water since yesterday, stranded in Kolkata flood",81.5
"My house is completely flooded, water till knee level 😭 #FloodAlert",50.7
"Seashore flooding slowly, people moving inland",51.5
"Beach closed due to high tide, lifeguards warning tourists ⚠️",20.0
"Water entered ground floor, electricity gone, please send help urgently!!",90.8
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",68.3
"Storm surge is breaking the wall, sea water entering colony in Chennai",77.3
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",54.8
"High waves hitting the shore, fishermen in danger 🚤🌊",64.3
Rainy vibes with chai ☕ but roads full of water 🤦,36.6
"Seashore flooding slowly, people moving inland",40.5
"Power cut in whole area due to cyclone, scary night 😰",76.5
"Can't believe the size of these waves, never seen like this before",39.6
"Storm surge is breaking the wall, sea water entering colony in Thiruvananthapuram",70.7
"Landing at Cuttack airport, first feeling of soil underfoot 😂",31.6
"Power cut in whole area due to cyclone, scary night 😰",68.1
"Beach closed due to high tide, lifeguards warning tourists ⚠️",59.1
"Storm surge is breaking the wall, sea water entering colony in Visakhapatnam",55.8
"Beach closed due to high tide, lifeguards warning tourists ⚠️",20.3
"Can't believe the size of these waves, never seen like this before",60.5
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",71.4
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",69.7
"High waves hitting the shore, fishermen in danger 🚤🌊",54.2
"Power cut in whole area due to cyclone, scary night 😰",79.7
"Seashore flooding slowly, people moving inland",71.5
"Basement completely filled with water, car doob gayi 😭 #Floods",96.1
"Kids crying, we are on rooftop since last night, water rising fast 🚨",97.3
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",6.0
"Water entered ground floor, electricity gone, please send help urgently!!",89.6
"Beach closed due to high tide, lifeguards warning tourists ⚠️",43.0
"Storm surge is breaking the wall, sea water entering colony in Visakhapatnam",65.2
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",86.6
"Heavy rain again, classic Mumbai monsoon 😂",9.1
"No food, no drinking water since yesterday, stranded in Cuttack flood",81.7
Rainy vibes with chai ☕ but roads full of water 🤦,34.1
"My house is completely flooded, water till knee level 😭 #FloodAlert",53.9
"Just another day, stuck in traffic due to rain 😒",91.1
"@IndianNavalDockyardFort reached port belly-forward, beaches cleaned yet 🙏",21.1
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",53.3
"Flood in Kolkata, please @NDRF come fast 🙏",44.8
"Can't go outside, roads blocked due to heavy rain in Thiruvananthapuram. Anyone else stuck?",88.0
"Power cut in whole area due to cyclone, scary night 😰",64.0
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",24.2
"High waves hitting the shore, fishermen in danger 🚤🌊",76.0
"@IndianNavy please rescue us, stuck in Chennai since cyclone hit!",90.4
"Just another day, stuck in traffic due to rain 😒",98.1
"Heavy rain again, classic Mumbai monsoon 😂",35.5
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",51.5
"Flood in Mumbai, please @NDRF come fast 🙏",53.8
"Cyclone holiday declared, no college today yay 😅",22.8
"High waves hitting the shore, fishermen in danger 🚤🌊",64.0
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",13.9
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",21.1
"No food, no drinking water since yesterday, stranded in Cuttack flood",84.1
"Power cut in whole area due to cyclone, scary night 😰",72.6
"Water entered ground floor, electricity gone, please send help urgently!!",94.2
"Cyclone destroyed roof of my house, kids shivering 😢",96.4
"Cyclone affected people going back to their original place, safe destruction ?",43.1
"Flood in Kolkata, please @NDRF come fast 🙏",20.7
